url,title,author,avg_rating,num_ratings,num_reviews
https://www.goodreads.com/book/show/13496.A_Game_of_Thrones,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.44,"2,206,559",57213
https://www.goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.6,"120,992",1959
https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,4.52,"816,628",46948
https://www.goodreads.com/book/show/7235533-the-way-of-kings,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,4.63,"370,311",not found
https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis,4.26,"579,058",11210
https://www.goodreads.com/book/show/228665.The_Eye_of_the_World,"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,4.18,"456,576",17866
https://www.goodreads.com/book/show/68428.The_Final_Empire,"The Final Empire (Mistborn, #1)",Brandon Sanderson,4.46,"492,286",35309
https://www.goodreads.com/book/show/18116.His_Dark_Materials,His Dark Materials (His Dark Materials #1-3),Philip Pullman,4.27,"152,833",5470
https://www.goodreads.com/book/show/113436.Eragon,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,3.92,"1,579,181",24034
https://www.goodreads.com/book/show/77197.Assassin_s_Apprentice,"Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb,4.16,"267,709",12311
https://www.goodreads.com/book/show/29588376-the-lies-of-locke-lamora,"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,4.28,"254,683",17134
https://www.goodreads.com/book/show/43615.The_Gunslinger,"The Gunslinger (The Dark Tower, #1)",Stephen King,3.94,"551,952",21018
https://www.goodreads.com/book/show/43889.Wizard_s_First_Rule,"Wizard's First Rule (Sword of Truth, #1)",Terry Goodkind,4.12,"237,867",6981
https://www.goodreads.com/book/show/944073.The_Blade_Itself,"The Blade Itself (The First Law, #1)",Joe Abercrombie,4.18,"193,423",11176
https://www.goodreads.com/book/show/7332.The_Silmarillion,The Silmarillion,J.R.R. Tolkien,3.96,"241,972",9478
https://www.goodreads.com/book/show/55399.Gardens_of_the_Moon,"Gardens of the Moon (Malazan Book of the Fallen, #1)",Steven Erikson,3.9,"101,756",6557
https://www.goodreads.com/book/show/21787.The_Princess_Bride,The Princess Bride,William Goldman,4.26,"835,372",22316
https://www.goodreads.com/book/show/44660.The_Belgariad_Boxed_Set,"The Belgariad Boxed Set: Pawn of Prophecy / Queen of Sorcery / Magician's Gambit / Castle of Wizardry / Enchanters' End Game (The Belgariad, #1-5)",David Eddings,4.28,"15,289",276
https://www.goodreads.com/book/show/13642.A_Wizard_of_Earthsea,"A Wizard of Earthsea (Earthsea Cycle, #1)",Ursula K. Le Guin,4,"271,449",11725
https://www.goodreads.com/book/show/13812.Magician,"Magician: Apprentice (The Riftwar Saga, #1)",Raymond E. Feist,4.16,"89,031",2073
https://www.goodreads.com/book/show/40605251-the-mists-of-avalon,"The Mists of Avalon (Avalon, #1)",Marion Zimmer Bradley,4.12,"199,247",7054
https://www.goodreads.com/book/show/518848.Sabriel,"Sabriel (Abhorsen,  #1)",Garth Nix,4.15,"197,873",not found
https://www.goodreads.com/book/show/6122735-the-night-angel-trilogy,"The Night Angel Trilogy (Night Angel, #1-3)",Brent Weeks,4.43,"25,092",646
https://www.goodreads.com/book/show/9579634-prince-of-thorns,"Prince of Thorns (The Broken Empire, #1)",Mark  Lawrence,3.85,"103,644",7367
https://www.goodreads.com/book/show/3428935-the-warded-man,"The Warded Man (The Demon Cycle, #1)",Peter V. Brett,4.24,"115,783",5748
https://www.goodreads.com/book/show/61942.The_Dragonriders_of_Pern,"The Dragonriders of Pern (Dragonriders of Pern, #1-3)",Anne McCaffrey,4.26,"28,715",not found
https://www.goodreads.com/book/show/3236307-graceling,"Graceling (Graceling Realm, #1)",Kristin Cashore,4.07,"424,119",24124
https://www.goodreads.com/book/show/12067.Good_Omens,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,4.24,"622,960",31498
https://www.goodreads.com/book/show/17332218-words-of-radiance,"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson,4.75,"256,324",15368
https://www.goodreads.com/book/show/34497.The_Color_of_Magic,"The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett,3.99,"345,876",11179
https://www.goodreads.com/book/show/153008.Kushiel_s_Dart,"Kushiel's Dart (Phèdre's Trilogy, #1)",Jacqueline Carey,4,"77,087",not found
https://www.goodreads.com/book/show/7996.Redwall,"Redwall (Redwall, #1)",Brian Jacques,4.12,"111,250",not found
https://www.goodreads.com/book/show/68380.Dragonlance_Chronicles,Dragonlance Chronicles (Dragonlance #1-3),Margaret Weis,4.24,"20,289",544
https://www.goodreads.com/book/show/13569581-blood-song,"Blood Song (Raven's Shadow, #1)",Anthony Ryan,4.4,"79,095",4303
https://www.goodreads.com/book/show/29396.Furies_of_Calderon,"Furies of Calderon (Codex Alera, #1)",Jim Butcher,4.12,"101,696",4395
https://www.goodreads.com/book/show/68418.The_Dark_Elf_Trilogy_Collector_s_Edition,"The Dark Elf Trilogy Collector's Edition (Forgotten Realms: Dark Elf Trilogy, #1-3; Legend of Drizzt, #1-3)",R.A. Salvatore,4.35,"26,926",534
https://www.goodreads.com/book/show/1170158.The_Earthsea_Trilogy,"The Earthsea Trilogy (Earthsea Cycle, #1-3)",Ursula K. Le Guin,4.28,"19,419",429
https://www.goodreads.com/book/show/91981.The_Dragonbone_Chair,"The Dragonbone Chair (Memory, Sorrow, and Thorn, #1)",Tad Williams,3.95,"66,377",2257
https://www.goodreads.com/book/show/7165300-the-black-prism,"The Black Prism (Lightbringer, #1)",Brent Weeks,4.22,"111,142",5561
https://www.goodreads.com/book/show/68488.Fool_s_Errand,"Fool's Errand (Tawny Man, #1)",Robin Hobb,4.32,"82,461",2393
https://www.goodreads.com/book/show/478894.The_Sword_of_Shannara_Trilogy,"The Sword of Shannara Trilogy (Shannara, #1-3)",Terry Brooks,3.96,"22,774",not found
https://www.goodreads.com/book/show/27712.The_Neverending_Story,The Neverending Story,Michael Ende,4.17,"181,813",not found
